SalesID,Date,Product,Region,Sales,Profit,Units,Year
1,2025-01-05,Laptop,North,85000,12000,5,2025
2,2025-01-08,Mobile,West,45000,7000,10,2025
3,2025-01-12,Tablet,South,30000,4500,8,2025
4,2025-01-15,Monitor,East,22000,3500,6,2025
5,2025-01-20,Keyboard,North,8000,1500,20,2025
6,2025-01-25,Mouse,West,5000,900,25,2025
7,2025-02-03,Laptop,South,90000,,6,2025
8,2025-02-07,Mobile,East,50000,8000,11,2025
9,2025-02-11,Tablet,North,28000,4200,7,2025
10,2025-02-18,Monitor,West,24000,3800,7,2025
11,2025-02-22,Keyboard,South,9000,1700,22,2025
12,2025-02-27,Mouse,East,5500,1000,27,2025
13,2025-03-04,Laptop,North,95000,14000,6,2025
14,2025-03-09,Mobile,West,47000,7200,10,2025
15,2025-03-14,Tablet,,32000,4800,9,2025
16,2025-03-19,Monitor,East,26000,4100,8,2025
17,2025-03-23,Keyboard,North,8500,1600,21,2025
18,2025-03-28,Mouse,South,6000,1100,30,2025
19,2025-04-02,Laptop,West,88000,13000,5,2025
20,2025-04-07,Mobile,North,52000,8200,12,2025
21,2025-04-12,Tablet,East,35000,5200,10,2025
22,2025-04-17,Monitor,South,23000,3600,7,2025
23,2025-04-22,Keyboard,West,9500,1800,24,2025
24,2025-04-27,Mouse,North,5800,1050,28,2025
25,2025-05-03,Laptop,South,98000,14500,6,2025
26,2025-05-08,Mobile,East,54000,8500,12,2025
27,2025-05-13,Tablet,West,31000,4600,8,2025
28,2025-05-18,Monitor,North,27000,4300,8,2025
29,2025-05-23,Keyboard,East,10000,1900,25,2025
30,2025-05-28,Mouse,South,6200,1150,31,2025
31,2025-06-04,Laptop,North,102000,15000,7,2025
32,2025-06-09,Mobile,West,56000,8800,13,2025
33,2025-06-14,Tablet,South,33000,4900,9,2025
34,2025-06-19,Monitor,East,29000,4600,9,2025
35,2025-06-24,Keyboard,North,10500,2000,26,2025
36,2025-06-29,Mouse,West,6500,1200,32,2025
37,2025-07-03,Laptop,South,99000,14600,6,2025
38,2025-07-08,Mobile,East,58000,9100,13,2025
39,2025-07-13,Tablet,North,36000,5300,10,2025
40,2025-07-18,Monitor,West,30000,4800,9,2025
41,2025-07-23,Keyboard,South,11000,2100,27,2025
42,2025-07-28,Mouse,East,6800,1250,33,2025
43,2025-08-03,Laptop,North,105000,15500,7,2025
44,2025-08-08,Mobile,West,60000,9400,14,2025
45,2025-08-13,Tablet,South,38000,5600,10,2025
46,2025-08-18,Monitor,East,32000,5100,10,2025
47,2025-08-23,Keyboard,North,11500,2200,28,2025
48,2025-08-28,Mouse,West,7000,1300,34,2025
49,2025-09-03,Laptop,South,110000,16200,7,2025
50,2025-09-08,Mobile,East,62000,9700,14,2025
51,2025-09-13,Tablet,North,40000,5900,11,2025
52,2025-09-18,Monitor,West,34000,5400,10,2025
53,2025-09-23,Keyboard,South,12000,2300,29,2025
54,2025-09-28,Mouse,East,7200,1350,35,2025
55,2025-10-03,Laptop,North,108000,15900,7,2025
56,2025-10-08,Mobile,West,64000,10000,15,2025
57,2025-10-13,Tablet,South,42000,6200,11,2025
58,2025-10-18,Monitor,East,36000,5700,11,2025
59,2025-10-23,Keyboard,North,12500,2400,30,2025
60,2025-10-28,Mouse,West,7500,1400,36,2025
61,2025-11-03,Laptop,South,112000,16500,7,2025
62,2025-11-08,Mobile,East,66000,10300,15,2025
63,2025-11-13,Tablet,North,44000,6500,12,2025
64,2025-11-18,Monitor,West,38000,6000,11,2025
65,2025-11-23,Keyboard,South,13000,2500,31,2025
66,2025-11-28,Mouse,East,7800,1450,37,2025
67,2025-12-03,Laptop,North,115000,17000,8,2025
68,2025-12-08,Mobile,West,68000,10600,16,2025
69,2025-12-13,Tablet,South,46000,6800,12,2025
70,2025-12-18,Monitor,East,40000,6300,12,2025
71,2025-12-23,Keyboard,North,13500,2600,32,2025
72,2025-12-28,Mouse,West,8200,1500,38,2025
73,2026-01-03,Laptop,South,118000,17500,8,2026
74,2026-01-08,Mobile,East,70000,11000,16,2026
75,2026-01-13,Tablet,North,48000,7100,13,2026
76,2026-01-18,Monitor,West,42000,6600,12,2026
77,2026-01-23,Keyboard,South,14000,2700,33,2026
78,2026-01-28,Mouse,East,8500,1600,39,2026
79,2026-02-03,Laptop,North,120000,17800,8,2026
80,2026-02-08,Mobile,West,72000,11300,17,2026
81,2026-02-13,Tablet,South,50000,7400,13,2026
82,2026-02-18,Monitor,East,44000,6900,13,2026
83,2026-02-23,Keyboard,North,14500,2800,34,2026
84,2026-02-28,Mouse,West,8800,1650,40,2026
85,2026-03-03,Laptop,South,122000,18100,8,2026
86,2026-03-08,Mobile,East,74000,11600,17,2026
87,2026-03-13,Tablet,North,52000,7700,14,2026
88,2026-03-18,Monitor,West,46000,7200,13,2026
89,2026-03-23,Keyboard,South,15000,2900,35,2026
90,2026-03-28,Mouse,East,9200,1700,41,2026
91,2026-04-03,Laptop,North,125000,18500,9,2026
92,2026-04-08,Mobile,West,76000,11900,18,2026
93,2026-04-13,Tablet,South,54000,8000,14,2026
94,2026-04-18,Monitor,East,48000,7500,14,2026
95,2026-04-23,Keyboard,North,15500,3000,36,2026
96,2026-04-28,Mouse,West,9600,1800,42,2026
97,2026-05-03,Laptop,South,128000,19000,9,2026
98,2026-05-08,Mobile,East,78000,12200,18,2026
99,2026-05-13,Tablet,North,56000,8300,15,2026
100,2026-05-18,Monitor,West,50000,7800,15,2026
